tiempoMedicion;valor
05:30;Alta
05:32;Baja
05:35;Media
05:38;Media
05:45;Alta
05:46;Baja
05:49;Media
05:49;Media
05:50;Alta
05:51;Baja
05:52;Baja
05:30;Alta
05:32;Baja
05:35;Media
05:38;Media
05:45;Alta
05:46;Baja
05:49;Media
05:49;Media
05:50;Alta
05:51;Baja
05:52;Baja
05:30;Alta
05:32;Baja
05:35;Media
05:38;Media
05:45;Alta
05:46;Baja
05:49;Media
05:49;Media
05:50;Alta
05:51;Baja
05:52;Baja
05:30;Alta
05:32;Baja
05:35;Media
05:38;Media
05:45;Alta
05:46;Baja
05:49;Media
05:49;Media
05:50;Alta
05:51;Baja
05:52;Baja
05:30;Alta
05:32;Baja
05:35;Media
05:38;Media
05:45;Alta
05:46;Baja
05:49;Media
05:49;Media
05:50;Alta
05:51;Baja
05:52;Baja
05:30;Alta
05:32;Baja
05:35;Media
05:38;Media
05:45;Alta
05:46;Baja
05:49;Media
05:49;Media
05:50;Alta
05:51;Baja
05:52;Baja
05:30;Alta
05:32;Baja
05:35;Media
05:38;Media
05:45;Alta
05:46;Baja
05:49;Media
05:49;Media
05:50;Alta
05:51;Baja
05:52;Baja
